name,state,city,address,latitude,longitude,Charging Type,Supported Vehicle Types,access hours,Pricing Information,Amenities
"Prince Guest House & Restaurant, Transport Nagar",Chhattisgarh,Raipur,"In front of Parking No 6 Transport Nagar, Rawa bata, Raipur, Chhattisgarh 492003",21.3194434,81.6372966,DC Fast Charging,EV2,24-Jul,?8 k/Wh,Wifi
"Jagdalpur Motors, Geedam Road",Chhattisgarh,Jagdalpur,"Geedam Rd, Pandripan, Chhattisgarh 492099",19.0657802,81.9635956,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"No Wifi, No Parking"
Aaranyam Restaurant & Cafe ,Chhattisgarh,raipur,"near Vedanta Balco Medical Center, Sector 24, Nawagaon Parsatti, Naya Raipur, Chhattisgarh ",21.134229,81.7723096,DC Fast Charging,EV2,24-Jul,?9 k/Wh,Wifi
EESL Mantralaya Naya Raipur,Chhattisgarh,Raipur,"Sector 19, Kotara Bhantha, Naya Raipur, Chhattisgarh 492101",21.16012192,81.79515321,AC Fast Charging,EV1,24-Jul,?8 k/Wh,Wifi
EESL Prayas Bhawan Naya Raipur,Chhattisgarh,Raipur,"Public Parking, Prayas Bhawan, Sec -19, Atal Nagar, Nava Raipur",21.163948,81.788547,AC Fast Charging,EV1,24-Jul,?7 k/Wh,"No Wifi, No Parking"
"Sairam Automobiles, Light Industrial Area",Chhattisgarh,Khursipar," Zone III, Light Industrial Area, Khursipar, Chhattisgarh 490011",21.206036,81.3418606,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
"Sairam Automobiles, Krishna Nagar",Chhattisgarh,Bhilai,"Sairam auto G. E Road, Krishna Nagar, Supela, Bhilai, Chhattisgarh 490023",21.2165392,81.401487,DC Fast Charging,EV2,24-Jul,?10 k/Wh,"Wifi, Parking"
Tata Power ,Chhattisgarh,Raipur,"Le ROI, Raipur, Raipur Railway Station, Loco Colony, Gudhiyari, Raipur, Chattisgarh - 492009",21.255366,81.62943,DC Fast Charging,EV2,24-Jul,?12 k/Wh,"Wifi, Parking"
"Bahubali Motors, Transport Nagar",Chhattisgarh,Raipur,"Mumbai - Kolkata Hwy, Beside M.P Dhaba, Transport Nagar, Tatibandh, Raipur, Chhattisgarh 492099",21.2567897,81.5594445,AC Fast Charging,EV1,24-Jul,?8 k/Wh,"Wifi, Parking"
"Prince Guest House & Restaurant, Transport Nagar",Chhattisgarh,Raipur,"In front of Parking No 6 Transport Nagar, Rawa bata, Raipur, Chhattisgarh 492003",21.3194434,81.6372966,AC Fast Charging,EV1,24-Jul,?9 k/Wh,"No Wifi, No Parking"
